Comment;Evaluation
Um dia triste para o Brasil, o crime compensa se você for um criminoso grande o suficiente, com capacidade para influenciar as maiores esferas da injustiça brasileira.;0
Liberdade para dentro da cabeça....;1
AI 5 AGORAAAAAAA!!!;0
"a unica coisa boa nisso vai ser ver ele sendo preso de novo!
";0
Esse país é uma vergonha.;0
Agora sim os advogados do PT se passando de Ministros de STF DA VERGONHA estão felizes o LULALADRAO Solto mais as 6 HIENAS DO STF acabaram de decretar as suas proprias prisão não pedem mais circular em praças publicas, aeroportos etc. E agora o Povão ja os filmaram;0
Aos burros de plantão, se tiver intervenção militar não pode votar nada, adivinha o prejudicado nisso, nós mesmos, então deixa o trem nos trilhos que esse tipo de coisa vai acabar, só tem 10 meses de governo e já mudou alguma coisa, aguardem bandidagem o cerco tá se fechando!;0
Recado do STF, podem roubar a vontade que no Brasil vale a pena.;0
Depois que virar um Chile, ou pintarem  as autoridades desonewstas, em rua publica,  igual no Peru, não reclamem... e o Janot tinha razão... ;0
A libertação do FILHO DO BRASIL representa a Liberdade para o nosso país, e para cada cidadão brasileiro de bem!;1
O Partido dos Trabalhadores é o partido onde menos tem trabalhadores...vai entender;0
O mito ta voltando. Se esconde bozo kkkk;0
VIVA OS LADROES, ESTRUPADORES, ASSASSINOS, VIVA DESGRAÇA ;0
"E O ADVOGADO SÓ COMEU NOSSO DINHEIRO PORQUE QUE SOLTOU FOI O S.T.FRALDES!!!!
";0
Quero é guerra civil, bora DIREITA x esquerda... o pais ta dividido em dois lados. ;0
Que país nojento... mais uma mensagem ao povo: Sejam ladrões, que no fim compensará. ;0
Parabéns STFDP! ;0
"vergonha
";0
"o cabare vai pegar e fogo agora
";0
SE EU TIVESSE CONDIÇOES MUDAVA DESSE PAIS NOJENTO;0
"o ultimo q sair , pague o STF
";0
Neste país quem não presta e não vale nada são os cidadãos honestos e trabalhadores. ;0
Quanto ódio... Quanto rancor... ;0
LUTO;0
Muito bem, Muito bem e Muito bem........ O jeito é sair do país.... o Brasil não tem mais jeito, os ladrões tomara conta de tudo.;0
Você trabalha e estuda pra ser alguém na vida, seguindo as leis e fazendo seu papel pra alguém decidir que quem roubou e facilitou roubo de BILHÕES seja solto. Sentimento já passou o da revoltada saca? Indignado demais, parece que todo o esforço que fizemos para ser direitos é recompensado com injustiça;0
Aguardem os comentários do bozo...;0
E os Militares ? Vão servir pra alguma coisa ??;0
A missao do STF foi cumprida que era soltar o molusco, tudo bem que pra isso vai mais 5.000 com ele, cadeia e so pra pobre mesmo ricos nunca mais serão presos com a infinidade de recursos e advogados que teem a seu dispor, parabens PT, Psol. OAB , e o pior e ver gente comemorando isso...e o fim mesmo.....;0
Vivaaaaa ! Rumo à Presidencia meu Príncipe dos pobres !;0
Sou empresário e a época que mais ganhei dinheiro foi com o PT no governo, os empresários e os trabalhadores eram respeitados, agora estamos vivendo o fim dos tempos, impostos, custos, desemprego, empresas fechando, fim dos direitos trabalhistas....;0
Nossa arma é nosso voto! Se é Lei soltem logo. O Brasil já escolheu o seu caminho.;0
O bandidos do stf abriram a porteira. Agora segura a boiada...;0
Venha que o teu povo te espera, PRESIDENTE LUÍS INÁCIO!;1
"Cara   ...  Como podemos ter no  ...  ""  STF  MINISTROS  CORR
UPTOS , LARAPIOS , LADROES  ""   Hoje como Brasileiro fiquei
ENVERGONHADO  DESSA MANOBRA POLITICA DO  STF  ......
INADMISSIVEL , DEPLORAVEL E VEXATORIO  .. !!!";0
Tem mais jornalista do que militantesInuteis, povinhoFeio.;0
"Deveriam soltar todos os estupradores, ladrões, homicidas, traficantes e outros ""vítimas"" da sociedade, por que soltar somente os criminosos do colarinho branco? É muito deboche com a sociedade. Até quando vamos aguentar isso de forma passiva?";0
VAI VOLTAR LOGO.;0
Eis a consequência: a bolsa caiu e o dólar subiu. Os famintos, os doentes, os desempregados serão prejudicados.;0
É importante colocar tornozeleira no meliante,para garantir que o mesmo não fuja!!!!;0
Ou seja, NUNCA mais será preso. Quando é que isso vai transitar em julgado? Muito depois de ter morrido.;0
"vergonha alheia! essa é a principal sensação neste momento! não existe justiça neste país!
";0
Queremos que o LuIa volte para Brasília! (direto para a PAPUDA é claro.);0
no brasil nao se pode roubar pouco se nao fica preso quem rouba muito nao fica preso;0
O Brasil a caminho do Chile e Venezuela, é lamentável, algo falou mais alto,  a tranquilidade do país está próximo do fim, Deus nos ajude ;0
Nâo sei  como na cabeça do STF estes crimes são menores do que homicídio ou tráfico de drogas. Corrupção mata e muito, será que eles não sabem?;0
$ U P R E M A VERGONHA.;0
Nossa!!! Tanta gente com vergonha  do Brasil. Pq vcs não vão para os EUA? O Bozo não tinha prometido visto de entrada para todo mundo?;0
agora só revoluçao mesmo,  o comunismo está de volta com tudo.;0
"Aproveita solta todos que estão nos presídios!!!
As vezes tenho vergonha de ser brasileiro roubam e saem impunes ";0
Finalmente  Vossas Excelencias, Ministros do STF conseguiram entrar para história e mais uma vez em favor dos poderosos.;0
que comece a baderna ...;0
"A Fera está solta. Agora, o quadro muda. Em 2020, os fazedores de ""arminha"" terão o início de sua resposta.";0
Liberdade do Llula: meu presente de aniversário!;1
quem é Vermelho vai comemorar quem é Verde e Amarelo vai protestar...clima perfeito para instabilidade ....pra semana avança a PEC modifica-se a constituição e acelera os outros processos contra esses mesmos acusados na tentativa de manda-los de volta pra prisão ...e o povo como sempre só olhando e passando fome...sem ganhar nada com isso....brigando a toa...;0
Só falta ele morrer e virar Santo. ;0
"Quando o Supremo Tribunal Federal, confirma pra toda uma nação que o crime compensa!!!
Parabéns...";0
Estou me sentindo feito de palhaço e com vergonha de ser brasileiro, literalmente.;0
Eu não apoio oLula e nem o Bozo, acho os dois lados extremos demais e que não fazem bem para a população e o país, mas depois dessa soltura eu quero mesmo é ver o cabaré pegando fogo. Já comprei a pipoca. OLula solto vai acabar com o pouco de sossego que resta no Bozo. O Capetão vai surtar!;1
Se quando o Filho do Brasil ainda estava em seu gabinete os bozoloides se kagavam todos de medo , imagina agora Ele nas ruas junto ao seu povo .;1
Bando de desocupado lá na frente aguardando. Ao invés de procurar trabalho preferem usar o tempo pra defender criminoso.;0
Pois é , mais uma vez este país mostra que o futuro dele é sombrio , quem sair por último apague a luz !!!!!!!!!!!;0
Constituição tem que ser respeitada o que fizeram foi um ato de rebeldia em prender antes do transito em julgado. Eles sabiam que tinha que soltar todos justamente o que esta acontecendo agora. ;0
"Alguem acredito nesse pais?
So os trouxas!!!!";0
SOU NEUTRO MAIS SE A ESQUERDA FOR PARA AS RUAS EU VOU ADERIR A CAUSA E LUTAR CONTRA O FASCISMO TAMBÉM - QUERO DEIXAR MINHA PARTICIPAÇÃO NA LUTA CONTRA A TIRANIA DO FASCISMO - AVANTE POVO BRASILEIRO;1
E ai B.O.Z.O ? vai arregar?;1
1 ano e 7 meses. Ih!  Deu 17 outra vez.;0
OS FASCISTAS APOIADORES DO BOZZÓ ESTÃO CORRENDO PARA O FACE TENTANDO SE REAGRUPAR PARA VER SE CONSEGUEM UM ULTIMO ATAQUE - MAS NÃO PASSARÃO - SOMOS A MAIORIA E A HORA DELES TA CHEGANDO - A PF JÁ TA COM O PC DA GUARITA E EM BREVE SAIRA O RESULTADO DA PERICIA CORRETA SEM APOIADORES FASCISTAS ENVOLVIDOS - BANGU JÁ TA PREPARADO PARA RECEBER O BOZZÓ E SEUS FILHOS;1
MELIOR DIA DA MIA VIDA DEPOIZ DO NACIMENTO DE MEU FILIO;1
O b.o.z.o. tá quieto...kkkkkkk;0
"Que vergonha esse tal de STF. O pior de todos os Tempos. Preferiu trair o povo soltando todos os assaltantes do dinheiro público. INGRATOS! ""Obrigada"" dona Rosa Weber por ter ficado do lado dos corruptos encarcerados deixando as brasileiras nas mãos dos criminosos. A Constituição de 1988 nunca mudou o entendimento da Prisão em Segunda Instância, quem diz o contrário Mente para enganar o povo e beneficiar o Padrinho.";0
Circo;0
VIVA O PAI DOS POBRES! Agora solto organizará a resistência! URSAL é a meta!;1
O dia em que 6 x 5 foi mais vergonhoso que os 7 x 1. O satanás será solto, um dia seria, mas vai carregar a marca de um eterno condenado da justiça e da grande maioria da sociedade.;0
Pobrezinhos dos moderadores... Vou horar para que sobrevivam aos leitores. Uma hora, duas horas, ..., amem.;0
O proximo passo é o impeachment do BOZO!;0
DOMINGO! Comício para mais de 1 milhão na Paulista!;0
Agora é esperar o congresso fazer a parte dele e mandar os pobres coitadinhos de volta pro lugar de onde nunca deveriam ter saído.;0
Tragam lenços para os bolsonaristas gente... ;0
por Deus ...só peço que saia algum assassino..estuprador  que ataque a casa de um desses ministros estupre ate o cachorro depois esquarteje todo mundo....quem sabe aprendem...;0
esse país está indo a beira do caos,nas mãos do STF,,,nojento ,,,como pode soltar bandidos ,assassinos,mais quem irá soltar as vitimas que forá mortas pelos que hoje ganham liberdade ? STF VOCÊS SÃO PIORES DOS QUE ESTÃO SENDO SOLTOS..........;0
"O cara é tão ""honesto"" que nem mesmo 185 recursos livraram ele da cana. O único jeito foi mudar a lei do País.";0
Agora que ninguém irá querer investir no Brasil! Sabem que aqui o crime compensa e que os investimentos serão para esses criminosos.;0
Soltem todos os corruptos, bandidos e chefes de quadrilhas e prendam todos os cidadãos honestos e trabalhadores. ;0
Vou pedir demissão do meu emprego de carteira assinada e vou começar a assaltar,essa vida de certinho tá fora de moda segundo a justiça brasileira.;0
"Brasil sendo Brasil.
";0
Isso é uma piada... Brasil o país do STF!;0
"O Brasil acabou!!!!
A corrupção venceu...Jesus já pode voltar!!";0
O peço da mortadela disparou aqui no mercado.  Libertarão 5000 por causa de 1? Inclusive Cabral, Azeredo, Cunha, milicianos, etc. Tolice comemorar.;0
Kkkk...Esse país é uma piada...;0
